date,total_trades,unique_accounts,total_volume_usd,median_size_usd,avg_execution_price,avg_leverage,total_closed_pnl,avg_closed_pnl,win_rate,sentiment_value,sentiment_class,sentiment_lag_1,sentiment_lag_3,sentiment_lag_7
2023-03-28,3,1,477.0,156.39,1898.1333333333332,,0.0,0.0,0.0,59.0,Greed,,,
2023-11-14,1045,2,11555429.76,3625.95,10454.871036222965,,155.50335699999994,0.1488070401913875,0.27464114832535885,69.0,Greed,59.0,,
2024-03-09,6962,5,39406770.25,1148.635,9771.897315360242,,176965.491774,25.418772159436944,0.49008905486929044,84.0,Extreme Greed,69.0,,
2024-07-03,7141,8,21843234.35,554.16,2663.1323376477903,,158742.378078,22.229712656210616,0.3171824674415348,50.0,Neutral,84.0,59.0,
2024-10-27,35241,29,103947765.09,498.69,5367.5032773242565,,3189461.032019,90.50427150248291,0.4516046650208564,74.0,Greed,50.0,69.0,
2025-02-19,133871,32,704158492.98,605.07,11102.057977906632,,6699925.190574,50.047621894017375,0.41514592406122314,44.0,Fear,74.0,84.0,
2025-06-15,26961,25,310275273.03,657.22,23652.065077594485,,71709.347634,2.6597436161121624,0.34917102481361967,,,44.0,50.0,
